stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,7.77,0,0.37,0,0,0,0,0,0
3Month,0.21,0.21,0.31,0,0.1,0.1,0.94,0.1,0.21,0.1,23.51,0.21,0,0,0,0.1,0.42,0.1,0.42
22Month,0,0,0.14,0,0,0,1.23,0.14,0.14,0,1.5,0,0,0,0,0,0.55,0,0.41
