stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0
72hpf,1.41,0.56,0.85,0.28,1.97,0,0,0,0,0,0,0,0,0,0,4.51,0,0,0,0,71.87,4.51,0,0.85,0,2.82,0,0.56,0,0,0,0,0,0
21Day,1.11,0,1.85,0,1.48,0,0.37,0,0,0,0,0.37,0,0.74,0,7.77,0,0,0,0,19.24,0.74,7.03,0.37,0,1.48,0.37,0.37,0,0,0.74,0,0,0
3Month,0,0.1,0.83,0,0,0.1,0,0.31,0,3.02,1.25,0,0.52,0.21,0.52,1.87,0.62,0,0,0.21,0.31,0.31,4.37,0.1,0,0,0.52,2.29,0.1,0,0,0.31,0.1,0.31
22Month,0,0.55,1.23,0,0,0,0.55,2.32,0.27,14.35,0.96,0.68,1.91,0.41,0.96,5.47,0.27,0.82,0.41,0,0.41,0,4.92,0.14,0.14,0,0.27,3.14,0.14,0.14,0,0,0,0.27
