stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0.28,0,0.28,0.28,0,1.69,0.56,0,0,0.56,0,0.28,0.56,0,0,1.13,0,0,0
21Day,0,0,0,0.74,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,1.48,0,0,0,0.37,4.44,0,0,0.37,0,0,0.37,0.37
3Month,0.1,1.14,0.94,8.22,0.1,0.31,0.1,2.39,3.02,0.1,13.83,4.47,0.21,5.93,0.62,2.08,4.16,4.37,0.62,0.21,1.25,2.7,0.62,0.1,1.25,0.73,0.42,5.2,492.31,0.73,0.21,0,0,2.39,242.57,2.5
22Month,0,0,0,0.27,0,0,0,0.14,0.55,0.27,3.14,0,0,0.55,0,0,0.27,0.55,0,0,0,0,0,0,0,0,0,0.14,35.12,0,0,0,0,0,0.82,0
