stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,0.28,0,0,0.28,0,0,0,0,0,0,0,0,9.86,0.28,0,0.28,0,0,3.66,0.85,0,0,0.85,0.28,0,0,0.28,0.28,0,0,0,0
21Day,0.37,0,0,5.18,1.11,0,1.11,0,0.74,0,0,0,1.11,0.37,1.48,5.55,4.81,2.96,0,0.37,0,4.44,0.37,0.37,0,0.37,0.37,0,0,0,0,0.37,0,0,1.48
3Month,0.1,0.31,0.1,3.22,0,0.1,0.21,0.73,2.6,0,4.16,4.68,0.1,2.5,0.1,1.98,15.91,1.04,0,0.31,0.42,0,0,0,0,0.1,0,7.7,0.31,0,0,0,35.37,1.25,2.6
22Month,0,0.82,0,1.5,0,0.14,0.14,0.27,3.83,0.55,23.91,3.55,0.68,2.87,0.14,0.41,12.85,0.82,0.82,0,0,0,0,0,0.14,0,0,1.5,0,0,0,0,4.65,0,2.05
