stage,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulosa_cell,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0.28,1.69,0,0,0.28,0,0
21Day,0,0,0.37,0,0.37,0,0,0,0,2.59,0.37,0,0.37,0,0
3Month,0.1,0,0,0,0.52,0.21,0.21,0.21,0,0,0,0.1,0,2.08,1.66
22Month,0,0.14,0,0.14,0.55,0.14,0,0,0.14,0,0,0,0,0.41,0
