stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Retinal_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,3.66,0.56,0,0,0
21Day,1.11,0,0,0,0,0,0.37,0,0,0,4.07,0.37,0,0.37,0.37
3Month,0.42,0.1,0,0.31,0,0.1,0.1,0,0.1,0.1,0,0,0.1,0,0
22Month,0.27,0,0.27,3.01,0.14,0.14,0.27,0.41,0.55,0,0,0,0,0,0
