stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,2.25,0,0,0,0,0,0,0,0.28,0,0.56,0.85,0,0.85,0,0,0,0,0.56,0,0,0.28,0,0,0,0,0,0,0
21Day,0.37,0,0,1.85,1.85,0,0,0.37,0.37,0,0,0.37,2.96,0,0,0,1.11,2.59,0,0,0,0.37,0.37,0,0,0,0,0,0.37,0,0.37,0,4.07
3Month,0.1,0.31,0,2.91,0,0.1,0,1.25,7.8,0,1.35,4.99,0.21,1.25,0,1.04,0.73,1.56,2.91,0,0.42,0.1,0,0.31,0.1,0,0.1,0.1,0,0.1,0.1,0.21,5.51
22Month,0,0.14,0.14,2.73,0,0.55,0.14,1.09,2.32,0.14,9.02,6.29,0.41,0.96,0.27,0,2.05,1.91,0.14,0.14,0.14,0,0,0.14,0,0,0,0,0,0,0,0,2.73
