stage,Epithelial_cell,Fibroblast,Granulocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0.85,0,0,0
21Day,0.37,0,0,0,0.37,0.37,0,0
3Month,0,0.1,0,0.1,0,0,0.83,0.1
22Month,0,0,0.14,0.14,0,0.96,0,0
