stage,Cardiomyocyte,Epithelial_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,T_cell
24hpf,18,1,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,4.23,0,0,0,0,0,0.28,0,0,0.28,0,0,0,0
21Day,16.65,0.74,0,0,0,0,0.37,0.37,0.37,0,0,0,0.37,0.37
3Month,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0
22Month,0,0,0.14,0.55,0.14,0.14,0,0,0,0,0,0.14,0,0
