stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,48,0,13,1,0,0,0,0,0,0,0,0,0,0,0,1,1,32,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0
72hpf,3.1,46.79,0,6.48,0.28,1.41,0,0.28,0,0,0,0,0,0.85,0,0,28.75,0,17.19,0,2.25,0.28,6.2,5.07,0,0,0,9.02,0,0,0,0,0,0,0
21Day,0.37,26.27,0,6.66,0,0.74,0,0.37,0,0,0,0,0,2.59,0.74,0.37,5.92,0.74,8.51,0,0,2.96,3.33,1.85,0.37,0.37,0,4.81,0,0,0.74,0.37,0,0,0
3Month,0,24.44,0,2.81,0,0,0.31,0.1,0.1,0.62,0,1.46,0.42,0.1,0.62,0.1,1.14,0.52,1.66,0.73,0,0.52,0.42,0,0.1,0.31,0,0,0.1,0.62,0,0,9.88,0.21,0.21
22Month,0.14,27.74,0.14,2.73,0,0,0.14,0,0,0.82,9.57,21.45,0.55,0.14,0.27,0,1.09,0.27,1.37,0,0.55,0.27,0.27,0,0,0.27,0.14,0,0.14,0,0,0,0.68,0,0
