stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,0.56,0.28,0,1.41,0,0,0,0,9.3,4.79,0,0,0.85,0,0,0.85,0,0,0,0
21Day,0.74,0,0,0.37,0,0,0,0,0,0,0,0.37,0,0,0.74,0,0.37,0,0,0,0,2.96,1.11,0.37,0,0,0,0,0,0,0,0,0
3Month,0.1,0.1,0.1,2.08,0.1,0.1,0.31,0.73,0,6.66,0.94,0.21,1.35,0.21,0.83,0.62,1.35,0.31,0.1,0.21,0.1,0.94,0,0.31,0.1,0.1,0.21,0.62,0,0.1,0.42,0.62,0.94
22Month,0,0.41,0.68,1.37,0.14,0,0.27,2.73,1.78,17.08,1.37,0.41,1.91,0,0.14,1.64,1.37,0,0.82,0.27,0,0.14,0,0.41,0.27,0.27,0.14,0.27,0.14,0,0.14,0,0.55
