stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4,1,4,0,0,0,0,0,0,0,0,1,1,1,0,15,0,1,17,539,3,0,2,0,0,0,0,0,1,0,0
72hpf,7.05,1.69,6.2,1.41,5.92,0,0,0,0,0,0,0,1.97,8.74,1.13,9.86,0.28,0,460.82,105.97,1.69,0,12.68,0.85,0,19.45,0.28,0.28,1.13,0,0
21Day,2.96,0.74,4.07,0,0.74,0.37,0,0,0.37,0,2.22,0,0.37,2.96,1.48,4.81,0,0,105.45,22.57,1.48,0.37,1.11,4.44,0,3.33,0,1.48,0,0,1.11
3Month,0,0,0.31,0,0,0,0.1,0,0.42,0,0,0,0,0,0,0,0,0,0.42,0.42,0.21,0,0,0,0.21,0,0,0,0,0.1,0.1
22Month,0,0,0,0,0,0,0.27,0.14,2.87,0.14,0,0.27,0,0,0.41,0.27,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0.14
