stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,18,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.85,0.85,0.28,0.56,0,0,0,0,0,0,0,0.56,0.85,0,1.13,0,0,0,0,50.45,8.46,0.28,0.28,0.85,0,0,0.56,0.28,0,0.28,0,0
21Day,2.22,0,1.11,0,3.7,0.37,0,0,0.37,0,0,0,0.37,1.11,0.74,2.22,0,0,0.37,0,57.35,3.7,0,1.85,1.48,2.22,0,2.96,2.96,12.21,1.48,0,0.37
3Month,0,0.1,0.62,0,0,0,0.21,0.21,0.62,0.31,0.21,0.83,0.21,0.94,0.31,0.52,0.1,0,0,0.21,0.73,0,0.1,0.31,0,0.1,1.14,0.1,0,0,0.1,2.29,0.1
22Month,0,0.14,0,0,0,0,0,0.55,2.05,0.14,0,0.27,0,0,0.41,0.14,0,0.14,0,0,0.27,0,0.14,1.23,0,0,0.27,0.14,0,0,0,0,0
