stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.56,0,2.54,0.85,0.28,0,0,0,0,0,0,0,0.56,0.56,0.28,0.85,0,0,0,45.1,2.25,0.28,0,0,1.97,0,0.28,1.97,0,0,0
21Day,0.37,0,0.37,7.03,0.74,0,1.85,0.37,0,0,0.37,0,0,1.48,0.74,0.37,1.85,0,0,0,6.29,0,2.59,0,0,0,0.74,0,0,0,0,0
3Month,0.1,1.04,0.1,9.05,0,0,17.06,0.31,0,0,0.94,0.52,1.14,3.95,0.1,0.62,0.62,0.31,1.87,0.31,3.12,0.21,2.5,0.42,0,0,0.31,2.29,0.1,0.21,21.43,0.31
22Month,0,1.37,1.09,7.93,0,0.14,20.77,0.55,0.27,0,7.11,0.14,4.37,0.41,0.14,1.09,0.41,0,4.24,0.14,1.23,0,2.73,0.14,0.14,0,0,2.46,0,0,0.14,0.55
