stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0.28,0,1.69,0,0,0,0,0,0.28,0,0,0,3.1,0,0,0.28,0,0,0,0.56,1.13,0.85,0,0,0,0,0,0
21Day,0.37,0,3.7,24.05,1.85,0.37,0.37,0.37,0,0,10.36,0.37,11.1,1.11,2.59,0,4.44,0,0.37,0.37,2.96,0.74,2.22,7.77,0.37,0.37,0.37,0,0.37
3Month,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0
22Month,0,0,0,0.27,0,0,0,0.14,0.14,0,1.5,0,0,0,0,0.14,0.55,0.14,0,0,0,0,0,0,0,0,0,0,0
