stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.74,0,0,9.99,0.37,1.48,0,0,0,0.74,0.37,0.37,0.74,1.11,0.74,5.92,0,2.96,0.37,47.73,0,1.85,0,0,0,1.48,0.37,0,1.11,0.37,0.37,0.37,0,0.37
3Month,0.1,0.94,1.35,5.41,0,0,0.1,0.21,0.31,1.66,17.27,2.81,0.1,3.33,1.46,2.08,1.46,0.94,0,117.54,0.21,0.21,0,0.31,0.21,0.1,2.39,0.42,0.1,0,0,0,0.42,1.46
22Month,0.14,0,0,1.09,0,0,0.14,0,0.14,0,1.64,0.14,0,0,0,0,0,0.14,0.55,14.21,0,0,0.14,0.27,0.14,0,0,0.27,0,0,0,0,0,0.14
