stage,Hepatocyte,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Radial_glia
72hpf,0,0,3.66,0.56,0,0.28
21Day,0,0,2.59,0,0.37,0
3Month,0.31,0,0,0,0,0
22Month,2.19,0.14,0,0,0,0
