stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Primordial_germ_cell
24hpf,1,0,0,0,0,0,0,4,1,0,0,0,9,0,0
72hpf,0,0,0.28,0,0,0,0,0.85,0,0,0,0.28,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0
3Month,0,0.1,0,0.1,0.1,0,0.1,0,0.1,0.1,0,0,0,0,0.62
22Month,0,0.14,0,1.23,0,0.41,0,0,0,0,0.14,0,0,0.27,3.01
