stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,32,0,0,0,2,0,0,6,0,0,0,0,0,0,0
72hpf,0.85,0.28,0,9.3,0.56,0.28,0,0,0,0,0,0,0,0,0.28,1.41,0,17.76,0,0.56,6.76,2.82,0,0,37.2,0,0,0,0.28,0,0,0
21Day,0.37,0.37,0,10.36,0.74,0.37,0,0,0,0,0,0,0,0,0,0.74,0,25.53,0,2.22,5.92,0.74,0.37,0,38.48,1.11,0.74,0,0.74,0,0,0.74
3Month,0.42,0.31,0,8.95,0.52,0,0.1,0.62,0.62,0,1.87,0.62,0.1,0.73,0.21,6.76,0.31,9.99,1.56,0.31,0.21,0,0.21,0.21,0,0.42,18.41,0,0.21,4.99,5.41,0.52
22Month,0,0.27,0.27,1.23,0.14,0,0.27,0.27,0.82,0.41,4.37,0.14,0.27,0.82,0,0.55,0.27,3.28,0.14,0.14,0,0,0,0,0,0.14,2.19,0.27,0.14,1.37,0,0
