stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Immune_progenitor_cell,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,1,0,2,0,0,0,0,0,0
72hpf,0.56,0.85,0.28,0,0.28,0.28,11.84,1.97,0,0,0.56,0,0,0
21Day,0,0.74,0,0.37,0.37,2.22,5.18,2.22,0.37,0.37,0.74,0.74,0.74,0.74
