stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,7,0,0,0,1,0,0,0,1,0,0,0,0,11,17,1,1,0,0,0,0,2,8,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,1.13,0.56,2.82,0.28,2.82,0,0,0,0,0,0,0,0,0,0,2.54,21.98,0,1.41,0,0,0,0,31.29,3.66,0,0.56,0,1.69,0.85,0,1.41,0,0.28,0,0,0
21Day,0.74,0,10.73,0.37,0.74,0,0,0,0,0.37,0,0,0.37,0.37,0.37,5.92,3.7,0.37,4.44,0,0,0.37,0,20.35,0.37,0,0.37,0,2.22,1.11,1.48,0,0.74,0,0,0,0.37
3Month,0.1,0.1,10.51,0,0,0.21,0,0,0.21,0,0,21.01,0.31,0,0.62,4.47,0.94,0.31,2.81,0.42,0,0.21,0.1,0.21,0,0.31,0.1,0,0.21,0.21,10.61,0,0,0,0.21,2.39,0.31
22Month,0,0.14,5.19,0.14,0,0,0,0.27,0.82,0.27,0,3.14,0.27,0.14,0.27,1.09,0.14,0.14,1.09,0,0.27,0.14,0,0.41,0,0.68,0.96,0.14,0.14,0.14,8.88,0,0,0,0,0.14,0.41
