stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0.28,0,0,0,0,0,0,0.56,0,0,0.28,0,2.54,0.85,0,0,0,0.28,0
21Day,0.37,0,0.37,0,0,0,0,0,0,0.37,0.74,0,0.37,0,0.37,0.37,0,0.74,0,0.37,0
3Month,0,0.1,0.1,0,0,0,0.1,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0.31,0,1.25
22Month,0,0.14,0,0.14,0.14,0.27,0.96,0,0.27,0,0,0.14,0.14,0.14,0,0,0.14,0,0.14,0.68,0.14
