stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
72hpf,3.95,0,0,0,0,0,0,0,0,0,0.28,0.56,0.28,0,0.28,0,0.28,0
21Day,0,0,0,0,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0
3Month,0,0.1,3.85,0.1,0,0.21,0,0.52,0.1,0.1,0,0,0,0.21,0.1,0.1,0,0.1
22Month,0,0,0,0,0.14,0.68,0,0.14,0,0.27,0,0,0,0,0,0.41,0,0
