stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,1,0,0,0,0,0,0,1,0,0,2,0,0,1,7,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0.56,0,0,4.79,0.56,0.28,0.28,0.85,0,0.28,0,0
21Day,0,0.37,0,0,0,0.37,0,0,0,0.37,0,0,0.37,2.22,0,0.37,0,0,0,0,0,0.37
3Month,0,0.42,0.31,0,0.42,0.1,0,0,0.1,0,0.21,0.1,0,0.1,0,0.1,0,0,0.31,0,0.1,0
22Month,0,1.09,0.27,0.27,2.32,0,0.27,0,0,0.14,0.14,0.14,0,0.14,0,0.68,0,0,0.41,0,0,0
