stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0.28,0.85,0,0,0,0.28,0,0.28,0,0,0,0,0.28,0,0
21Day,0,0,1.85,0,0,0.37,0,0,0,0.74,0.37,0.37,0,0,0,0.37,0.37,0,0.37,0,0,0,0
3Month,0,0.31,1.14,0.31,0.42,1.56,0.1,4.06,0.21,0.62,0.31,0.1,0,0.21,0.1,0,0,0,0,0.1,0,0.21,0.21
22Month,0,0.14,0.14,0,0,0.96,0,0.55,0,0,0.27,0,0.14,0,0,0,0,0.14,0,0,0,0,0
