stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,1,0,8,0,0,1,0,0,0,3,0,0,0,0,1,1,48,11,0,0,0,0,2,70,0,0,0,4,0,0,0,0,0,0
72hpf,0.85,0,0,0.28,0.56,1.13,0,0,0,0,0,0,0,0,0,0.56,0.56,0.56,1.69,0,0,0,0,3.38,1.41,0,0,0,2.25,0,0,0.85,0,0,0
21Day,0.37,0,0,2.96,0,0.37,0.37,0.37,0.37,0,0,0.37,0,0.37,0,0,0.37,1.11,1.48,0,0,0.37,0,1.11,0.37,0,0,0,0.74,0.37,0,0.37,0,0,0.74
3Month,0.1,0.52,0,2.7,0,0,0,0.42,1.56,0,0,2.39,2.6,0.1,1.46,0.31,0.94,1.35,1.14,0.31,0,0.21,0.1,0.21,0.1,0.42,0.1,0,0,0,8.22,0.1,0.42,0.42,3.12
22Month,0,0.14,0.27,1.64,0,0,0,0.27,1.78,0.27,0,11.07,0.55,0.27,2.05,0.14,0.68,2.05,1.91,0.27,0.41,0.27,0,0,0,0.41,0.14,0.14,0,0,1.78,0.14,0,0,0.68
