stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,40.87,0.85,0,0,0,0.85,0,0,4.51,3.38,0,0,0
21Day,0,0,0.74,1.11,0,0,0,0,0.37,0.37,0,0.37,0,0.37,0,5.18,1.11,0,0,0,0,0.37,0,5.92,12.95,0,0,0.37
3Month,0.1,0.1,1.14,0,0.21,0.42,1.56,0.1,0.1,1.04,0.1,0.31,0.42,0.42,0,0.21,0.1,0.1,0.1,0,0.1,0.1,10.3,0.21,0,0.1,4.58,0.1
22Month,0,0,0.41,0,0,0.14,2.19,0.14,0,0.41,0,0,0.14,0.14,0.27,0,0,0.14,0.14,0.27,0,0,3.28,1.23,0,0.14,0,0
