stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0.74,6.66,3.33,0,0.37,0,0,0,3.33,0.37,1.11,17.76,0.37,1.48,1.85,3.33,0.37,0,0,0,2.22,1.48,0,0,0,1.11,2.22,0,0,0.37,0,0,0
3Month,0.42,2.08,10.19,0,0.42,0.31,3.74,2.5,0.1,13.31,2.29,0,97.67,0.94,1.87,7.7,1.25,0.1,0,0.31,0.83,0,0,0.62,0,0,0.1,0.42,0.83,0,0,0.73,0.73,1.35
22Month,0.82,9.29,18.58,0,2.46,0.27,4.1,6.83,0.82,189.81,2.46,0.27,96.88,0.27,1.23,7.11,4.92,0.14,19.27,1.78,0.55,0.27,0,0.68,0.96,0.27,0,0.14,0.68,0.27,0,0.41,0,1.78
