stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0.28,0,0,0,0,0,0,0,0.28,0.28,0,0.28,0,0,1.13,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0.74,0,0,0,0,0.37,0,0.37,0.37,0.37,0.37,0,0,0.37,0.37,0.37,0.37,0.37,0,0,0.37,0,0,0
3Month,0,0,0,0.21,0,0,0.21,0,1.35,0.31,0,0.1,0,0.31,0.31,0,0.1,0,0,0,0,0.1,1.14,0,0.1,0.1,0.21
22Month,0,0.14,0.14,0.14,0,0.27,0.41,0.14,6.42,0,0,0.68,0.14,0.27,0.55,0.14,0.14,0,0,0,0,0,0.14,0,0,0,0
