stage,Endothelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,2.54,0,0,0,0,0.28,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0,1.48,0,0,0.74,4.44,0.37,0,2.59,0.37,0,0,0.74,0.37,0.37,0,0.37,0,0,5.55
3Month,0.42,0,0.62,0.42,3.64,0.1,0.1,0.1,0.83,0.42,0.1,0,0,0,0,0.1,0,0.42,0.1,3.02
22Month,1.09,0.27,0.68,0.96,3.14,0.14,0,0,1.37,0.27,0,0.14,0,0,0,0,0,0.27,0,0.68
