stage,Cardiomyocyte,Epithelial_cell,Immune_progenitor_cell,Mesenchymal_cell,Osteoblast
72hpf,1.13,0.28,0,0.28,0
21Day,0.74,0,0.37,0.37,0
3Month,0,0.21,0,0,0.1
