stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,8,0,0,0,0,0,0,5,0,0,0,0,0,58,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0
72hpf,0.28,0,0,9.58,0.85,0.56,0,0,0,0,0,0,0,0,0,1.69,44.81,0,0.85,0,0,0,8.46,2.25,0,0.85,0,0,0.56,0,0,0,0
21Day,0.37,0,0,53.28,0,1.85,0,0.37,0,0,0,0.74,0,0.37,0.37,2.96,19.24,0.74,1.11,0,1.85,0,0.74,0.37,0,1.48,0.74,0.37,0,0,0,0,0
3Month,0.1,0.1,0.21,40.36,0.1,0,0.1,0,0.21,0.62,0,2.39,0.73,0.31,1.25,3.12,5.72,1.25,0.62,0.1,7.8,0.1,2.29,0,0,0,0.21,1.98,0,0,0.1,6.24,0.73
22Month,0.14,0,0,15.99,0,0,0.14,0,0.14,0.55,0,6.01,0.41,0,0.41,1.5,0.27,0.68,0.41,0.14,1.23,0,0.82,0,0.27,0,0,1.37,0,0,0,0,0
