stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0.56,0,0.28,0,0,0,0,1.41,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0.37,0.37,1.48,0.37,0.74,0,0,0,0,0,0.37,0,0,0.37,0.37,0,0,0,0.37,0,1.48,0.74,0,0,0.74,0,0,0,0,0,0,0.74
3Month,0.52,0,2.29,0.21,0,0.42,0.1,0.52,2.29,4.37,1.87,2.18,0.73,0.73,1.87,1.56,0.21,0,0.1,1.66,0.31,0,0.42,0.1,0.1,0.1,1.66,0.1,0,0.1,0.52,0.94
22Month,0.14,0,0.68,0,0,0,0,0.14,0.96,5.47,0.96,1.09,0.27,0.14,0.68,0.27,0,0.14,0.14,0,0.14,0,0.27,0,0,0.14,0.41,0.14,0.14,0,0,0.27
