stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,5,0,0,0,0,0,0,0,0,0,8,2,4,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,6.48,0.28,0.28,0,0,0,0,0,0,0.28,6.48,0,1.69,0,0,0,0,2.82,2.54,0,0,2.54,0,0,1.13,0,0,0,0
21Day,0.37,0.37,0,28.12,1.11,1.11,0,0,0,0,0,0,0,21.83,0.74,3.33,0,0,0.37,0,3.7,1.11,0.37,0.74,1.85,0,0,0.74,0.37,0,0,0
3Month,0,1.35,0.21,25.07,0.21,0,0.1,0.31,0,4.89,0.62,0.83,0.1,3.02,0.73,2.7,0.52,0,0.52,0.21,0.42,0.1,0.21,0.31,0.21,0.21,0.62,0.1,0,12.07,0.21,0.31
22Month,0,1.23,0.14,5.06,0,0,0.14,0.82,0.68,41.54,0.27,0.41,0,0.96,0.14,0.68,0,1.23,0,0,0.14,0,0.41,0.96,0.41,0.14,0.27,0.14,0.14,1.5,0,0
