stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,2.82,0,0
21Day,0,0,1.11,1.11,0.37,0,0,0.37,0,0.37,0.37,0.37,0.74,0.37,1.11,0.37,2.96,0.37,0,0.74,84.73,0,0.74
3Month,0.1,0,0,0,0,0.1,0,0.31,0,0,0,0,0,0,0.31,0,0,0,0,0,8.95,0.1,0
22Month,0,0.14,0,0,0,0,1.09,0,0.27,0,0.14,0,0,0.27,0,0,0,0,0.14,0,0.55,0.14,0
