stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,11,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.56,1.13,0,0,0,0,0,0,0,0,0.56,0.56,0.28,0.28,0,0,6.2,2.25,0,0,0.56,0,0.28,0,0,0,0,0
21Day,0,1.48,0.37,0,0,0,0,0.37,0,0.37,0.74,0,0.37,0,1.11,0,0.37,3.7,1.11,0.37,0,0.37,0,0.37,0.74,0.37,0,0,0
3Month,0,1.56,0,0.31,0.73,0,0,0.42,0.1,0,0.94,0.31,0.21,0.31,0.42,0.1,0.62,0.1,0,0,0.21,0,1.66,0,0,0,0.21,0.62,0.42
22Month,0,0.41,0,0,0,0.14,0.27,1.64,0,0,0.55,0,0.14,0,0.27,0,0.27,0.27,0,0.14,0,0,0,0,0,0,0,0,0
