stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,5,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,9,27,2,0,0,0,0,0,0,0,0
72hpf,1.41,1.13,0.28,3.95,0,0,0,0,0,0,0,0,0.56,2.82,0.28,1.97,0,0,121.19,31.57,0,0,3.95,0,3.1,0,0,0,0
21Day,0,1.48,0.37,0.37,0,0,0,0,0,0,0,0,0,1.11,0.37,0,0,0,13.69,4.07,0.74,0.37,0.37,0.37,0.74,0.37,0.37,0,0
3Month,0,0.31,0,0,0,0.1,0.21,0,1.04,0.21,0.1,0.31,0,0,0.1,0.31,0,0.1,0,0.1,0.31,0,0,1.25,0,0,0,0.21,0.21
22Month,0,0.14,0,0,0.14,0,0.14,0.27,4.24,0,0.14,0.14,0,0,0.55,0.41,0.14,0,0,0,0.14,0,0,1.09,0,0,0,0,0.14
