stage,Epithelial_cell,Hepatocyte,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0
21Day,0,0,0,0.37,0,0
3Month,0.1,0.1,0,1.25,0.21,0.1
22Month,0,0,0,0.68,0,0
