stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,5,2,0,1,0,0,0,0,0
72hpf,0.56,0,1.13,10.15,0,0,0,0,0,0,0.28,0,0,1.97,1.13,0,0,0.28,0,3.38,0,0.56,0.56,0,0.28,0,0,0
21Day,0.37,0,1.85,11.84,0,0.37,0,0.37,1.85,0,0.74,0.37,0,3.7,0,0,0,0,0.37,0.74,0,0,0.74,0,0,0,0,0.74
3Month,0,0.1,0.73,1.98,0,0,0.1,0.21,0.83,0.42,0,0.1,0,0.42,0,0,0.1,0,0.1,0.1,0,0,0,0.1,0,0.21,0.1,0.21
22Month,0,0,0.27,0.14,0,0,0,0.14,2.73,0,0,0,0,0,0,0.14,0,0.14,0,0,0,0,0,0,0,0,0,0.14
