stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,4.51,0.56,1.41,0,0,0,0,0,0,0,0,0,0.56,1.97,9.3,0.28,0,0,0,0,3.95,4.23,0,0,0,1.97,0.56,0,0.85,0,0,0.28,0,0
21Day,14.8,3.7,1.85,157.24,2.59,33.3,4.44,0,0.74,3.33,0,9.62,0.74,16.28,5.92,8.14,106.19,13.32,58.46,0.74,0,8.14,0.37,64.38,29.6,1.11,0.74,0,22.2,15.54,0.37,6.66,2.22,8.51,1.48,1.11,7.03
3Month,0.1,0,0.1,3.22,0,0,0,0,0.1,0.31,0,0,0.42,0.21,0.21,0,0.42,0.73,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0.21
22Month,0,2.73,1.09,5.6,0,0,0.14,0.14,2.46,0.96,1.64,6.15,7.24,0.41,2.32,0.27,0.68,3.42,3.42,0,0.41,0.14,0,0,0,0,0.14,0.14,0,0,0.96,0,0,0,0,0.14,0
