stage,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Pancreatic_cell
72hpf,0,0,0,0,0,0.28,0
3Month,0,0.1,0,0,0.21,0,0
22Month,0.14,0.27,0.14,0.14,0,0,0.14
