stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,0,6,1,0,0,0,0,0,0,0,0,0,0,3,89,0,0,0,0,10,211,0,0,105,0,0,0,0,0,0,0,0,0
72hpf,5.64,1.13,0,4.51,7.33,4.51,0,0,0,0,0,0.28,0,1.13,34.1,1.41,74.69,0,0,0.28,0,218.15,50.17,2.54,0.28,60.6,0.28,1.13,3.66,0,0,38.05,0,0,0
21Day,3.33,0,0,5.18,2.59,2.96,0,0.37,0,0.37,0,2.22,1.48,0.74,60.68,1.48,56.24,0,0.37,2.59,0,93.98,20.72,1.85,1.85,7.4,4.07,0,2.22,0.37,2.59,22.2,0,0,0
3Month,0.31,2.08,0,2.08,0.31,0,0.1,0.73,0,2.29,0.83,0.1,0.94,0.1,6.87,0.21,19.14,1.77,0.1,0.1,0.1,1.14,0.52,2.91,0.94,0.1,0.31,5.72,0,0,0,0.21,0.21,1.35,0.1
22Month,0,0.96,0.14,0.82,0.27,0,0,0.41,0.41,4.24,0.27,0,0.27,0,4.65,0.27,8.75,0.55,0,0.14,0,0.96,0.41,3.96,0.14,0,0,7.65,0,0,0,0.14,0,0,0.27
