stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0.28,0.28,1.41,0,0,5.07,0.85,0,0.85,0,0,0.28,0,0,0.28,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0.74,0,0.37,2.96,1.85,0,0,0.37,0,0,0.74,0.37,0,0,0
3Month,0,0.21,0.21,0,0,0.1,0.1,0.31,0,0,0.1,0.1,0,0,0,0,0,2.6,0.1,0,0,0,0.1,2.6
22Month,0,0,0,0,0.14,2.32,0.55,0,0,0.14,0,0,0,0,0.14,0,0.14,0.14,0,0,0,0,0,0
