stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,430,2,0,14,0,0,0,1,0,0,0,0,0,0,0,7,5,12,0,0,0,0,7,65,0,2,0,0,0,0,0,0,0
72hpf,142.9,0.28,0,0.28,0,1.97,0,0,0,0,0,0,0,0,0,1.41,0,4.51,0,0,0.28,0,9.58,3.66,0,1.13,0,0,1.13,0.28,0,0,0
21Day,31.08,0.74,0,1.11,0,0.37,0,0,0,0,0,0,0,0,0,0.74,0,0.74,0,0,0,0,0.37,0,0,0,0.74,0,0,0.74,0,0,0
3Month,0.62,0.21,0,5.1,0.1,0,0,0,0.94,4.16,4.68,3.95,0.1,0.73,0.1,1.14,2.6,1.77,0.42,0,0.94,0.1,0.94,0,0.42,0,0.31,0.94,0,0,0.42,0.31,1.98
22Month,0,0.27,0.14,0.96,0,0,0.27,0,0.55,7.79,17.35,2.46,0.82,1.78,0,0.68,3.42,2.73,0.14,0.27,0.41,0,0,0,0.41,0,0,0.27,0,0,0,0,0.55
