stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.28,0,0,0,0,0,0,0,0,0.85,0,0,18.32,0.85,0,0.28,0,0,0,0,0,0,0
21Day,1.11,0,0,0,0,0,0,0.37,0.37,0,0.74,0,2.22,4.81,1.11,0,0.37,0.37,0,0,0,0,0,0
3Month,0.62,0,0.21,1.87,0.1,0,0.31,0.1,0.31,0,0.42,0.1,0.1,0.73,0,0.42,0,0,0.1,3.85,0,0.1,22.05,0.1
22Month,0,0,0.68,2.46,0,0.14,0.14,0,0.14,0.14,0.14,0,0.41,0.27,0,0.68,0,0.14,0,0.68,0.27,0,0,0.14
