stage,Cardiomyocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Retinal_cell,Retinal_cone_cell
72hpf,0,0,0,0,1.13,1.97,1.97
21Day,0.37,0.37,0.37,0.37,0,8.14,15.17
