stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,23.68,0,0,0,2.82,0,0,5.07,0.85,0,0.85,0,0,0,0.28,0,0,0
21Day,0,0,1.48,1.48,0,0.37,0,0,2.22,0,0,10.36,0,1.11,0,1.85,0.37,2.96,0.37,0,1.48,0,1.85,0,0,0.37,0.74,0,0,1.11,0,0,0
3Month,0,0.42,0.62,8.74,0,0,0.21,0.21,6.66,0.42,0,148.43,0.52,2.81,0.1,0.73,0.83,11.86,0.62,0.52,0.62,0.42,0.1,0,0.42,0.42,1.66,1.77,0.42,0,0.21,0.21,0.42
22Month,0.41,0.41,0.41,8.75,0,0,0.41,0,1.5,0.55,0.14,190.49,0.14,1.78,0.14,0,0.55,28.15,0.68,11.34,0.41,0,0,0.14,0.14,0.14,0.55,3.14,0.14,0.14,0,0,0.41
