stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,1.69,0.56,0,0.28,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,1.11,0.37,0.37,0,0
3Month,0,0,0.21,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
22Month,0.27,0.14,0.41,0,0.27,0.14,0.68,0.14,8.61,0.96,0.14,0.82,0.14,0.82,0.14,0.14,0.14,0,0.27
