stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0,1.69,1.13,0,0,0,0
21Day,0,0,0,0,0,0,0.37,0,0.74,0,0.74,0,0,0,0,0,0.37,0,0
3Month,0,0.21,0.1,0,1.66,0.1,0,0.42,0.31,0.1,0.1,0.1,0.1,0,0,0.1,0,0.1,0.1
22Month,0,0,0,0.14,0.96,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0
