stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.31,1.56,0,0.21,1.77,0.1,1.14,0.83,0.1,0.52,0.1,0.31,40.15,0,0.1,0.1,0.31,0.21,0.21,0.1,0.1,0.73,0.42,0,0.42,0.31,0.42
22Month,0.68,1.37,0.14,0.14,19.54,0,2.32,0.27,0.41,0,0,0.14,32.8,0.14,0,0.27,0.14,0,0,0.14,0.14,0.14,0,0.14,0.14,0,0.41
