stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,5,1,0,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.28,0.85,0,0,0.85,0.28,0.56,0,0,0.28,0,0,0.56,0,0.28,0.85,0.56,3.1,0,0,0,7.33,6.2,0,1.13,1.97,0.28,0,0,1.41,0.28,0,0,0
21Day,0.74,1.11,0.37,3.7,0,0.37,0,0.37,0,0,0.37,0,1.85,0.74,0.74,0.74,0.74,5.92,0,0,0.37,8.14,2.22,0,0.74,1.11,1.85,0,0.74,0.37,0,0,0,0.74
3Month,0.1,0.42,0.21,3.54,0,0,0,0.31,0.62,0.1,1.98,0.21,0,0.42,0.1,0.52,0.83,1.04,0.62,0,0.1,0,0.1,0.31,0.31,0.1,0.1,0.1,21.95,0,0,1.04,10.82,1.46
22Month,0,1.23,0,1.78,0.14,0,0,0,1.78,0.96,7.24,0.68,0.14,0.96,0,0.14,1.5,2.19,0,0.14,0.14,0.14,0,0.27,0.27,0.14,0,0,3.28,0.68,0,0,0.14,1.23
