stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,2,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.56,0,0.85,4.79,0.28,0,0.28,0,0,0,0,0,0.56,1.97,0.56,0.85,0,0,0.28,0,4.79,10.43,0,1.13,0,0,0.28,0,0.28,0,0,0
21Day,0.37,0,0,2.96,5.55,1.11,0,0.37,0,0,0,0.74,0,0.37,0.37,1.48,1.48,0,0,0,0,1.11,2.22,0,1.11,0.37,0,0.37,0.37,0,0,0,0.37
3Month,0,0.21,0.1,0.83,0,0,0.1,0,0,0.94,0.42,0,0.52,0.1,0.62,0,0.42,0.21,0,0.1,0.21,0,0,0,0,0.1,10.09,0,0,0,0.1,1.14,0.21
22Month,0,0.27,0,0.82,0,0,0.14,0.96,0.14,3.69,0,0.27,3.83,0.14,0,0.41,1.23,0.14,0.14,0.14,0,0.14,0,0.14,0.55,0,2.19,0.27,0,0,0,0,0.27
