stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,13,3,0,0,0,0,0,105,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0.56,0,0,0.56,0,0,0,0.28,0,0,0.56,0,0.56,0,0.56,0,0,2.82,1.13,0.56,0,0,0.28,16.63,0,0.28,0.28,0,0,0,0,0,0
21Day,30.71,5.55,5.18,106.19,3.33,70.67,13.32,0.74,3.7,0,19.61,3.33,30.71,12.95,8.14,66.6,25.53,125.43,0,0.37,14.8,0.74,128.76,57.35,3.7,5.18,0,44.77,933.48,0,0.74,15.91,7.03,23.68,5.55,0.74,0,17.02
3Month,0.1,1.04,0.62,6.66,0,0,0,1.14,7.49,0.21,27.56,7.28,0.42,5.72,1.14,2.5,4.26,3.22,0.42,0.1,2.08,0.52,0.42,0.1,4.99,0.42,0,0.1,207.51,1.35,1.98,0,0,0,0,1.14,3.54,2.81
22Month,0,0.55,0.41,2.05,0,0,0,0.41,11.48,0.27,110.28,2.19,0.55,2.6,0.27,0.82,3.55,2.73,0.27,1.78,0.14,0,0.27,0.14,5.19,0.55,0.41,0,47.83,0.14,0.68,0.14,0,0,0.14,0.41,0,0.82
