stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4,1,0,6,2,0,0,0,0,0,0,0,0,0,2,2,2,10,0,0,9,1046,0,2,0,0,0,0,0,1,0,0
72hpf,1.69,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0.56,0,0,7.61,57.78,1.13,1.97,0,0,23.11,0.28,0,0,0,0
21Day,0.37,0,0,1.48,0,0.74,0,0,0,0,0.37,0,0.37,0,0,0,0,1.11,0,0,1.85,22.2,0,0,0,0.37,10.36,0,0.37,0,0,0
3Month,0.1,0,0,0.31,0,0,0.1,0,0.21,0,1.66,0.21,0.21,0.1,0,0,0.1,0.31,0,0,0,0.21,0.1,0,0.1,0.31,0,0,0,0,0.1,0.1
22Month,0,0.14,0.14,0.27,0,0,0,0.27,0.82,0.41,14.62,0.27,0.14,0.82,0,0.27,0.14,0.96,0.14,0.14,0,0.14,0,0,0,0.41,0.14,0,0,0,0,0
