stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,8,0,0,0,0,0
72hpf,0.28,0.28,0.28,0.85,0.28,0,0,0,0.28,0,0.28,0.28,0,0.28,0,0,0,1.41,3.66,0.28,0,0,3.1,0
21Day,0,0,0.74,0,0,0,0.37,0,0,0,0,0,0.37,1.11,0,0.37,0,1.11,0.37,0,0.37,0,0.74,0.37
3Month,0,0,0.42,0,0,0.1,0.21,0.21,0.1,0.21,0,0.21,0.31,0.1,0,0,0.1,0,0,0,0,0.1,0,0.21
22Month,0,0,0,0,0,0.41,0.41,0,0,0,0,0,0,0.14,0.14,0,0,0,0,0,0,0,0,0
