stage,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3Month,0,0.21,0.1,4.37,0.31,0.1,0.42,0.1,0.1,0.21,0.1,0.1,0.1,0.21,11.23,0.1,13.11,0.1
22Month,0.14,0,0,1.09,0,0,0.14,0,0,0,0,0,0,0,0.14,0,0,0
