stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
72hpf,0,0.28,0,0,0.28,0,0,0,0,0,0.28,0.28,0.85,0,0,0,0,0
21Day,0.37,0,0.74,0,0.37,0.37,0.37,0,0,0,0.37,0,0,0,0,0,0,0
3Month,0,0,0.83,0.62,0.94,0,0.1,0.1,0.1,1.66,0,0,0,0.1,0.94,0.21,0.42,0.1
