stage,Epithelial_cell,Goblet_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,T_cell
24hpf,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.13,0.56,0,0.28,0,0
21Day,1.11,0,0,0.37,0,0,0,0,0,0.74,0,0,0,0.37,0
3Month,0.42,0.21,0,1.04,0.1,0.1,0.21,0.42,0,0,0,0.21,0,0,0.1
22Month,0,0,0,0.41,0,0.14,0,0,0.14,0,0,0,0,0,0
