stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.74,0,21.83,0.37,0,0.74,0,0.37,0.37,2.59,0,0.37,4.81,28.49,0.37,0,0,2.96,0.74,0.37,1.11,0,0,0.37,0.37,0,0
3Month,0,0.1,6.35,0,0.1,0,0.21,0.31,0.62,0.1,0.1,0.1,0.21,3.74,0,0.1,0,2.39,0,0,0,0.31,0,0,0,0.21,0.21
22Month,0,0.14,3.01,0,0,0,0,0.41,0.68,0.14,0.14,0,0,7.52,0.27,0,0.27,1.23,0,0,0,0.41,0.14,0,0,0,0.14
