stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0.37,0,0,0,0,0,0.37,0,0,0,0
3Month,0,0,0.1,1.14,0.1,0.31,1.77,0,1.04,1.14,0,0.83,0.31,0.31,19.97,0.21,0,0.31,0.1,0.21,0.1,0.31,0.52,0,0.21,0.1
22Month,0.14,0.41,0,0.55,0.14,0,9.57,0.41,4.37,0.41,0.27,0.82,0.41,0,15.71,0.14,0.14,0,0,0,0,0.14,0,0.14,0,0.41
