stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,2.22,0.37,0,0.37,0,0,0,0,5.92,0,0,0.37,0.74,0,0,0,0.74,0.37,0,0,0,0,0,12.21
3Month,0,0.1,3.64,0,0.21,0,0,0.42,1.14,0.62,1.77,0.73,0.83,2.81,0.62,0.1,0.21,0.1,0.1,0,0.1,0.52,0.62,0.21,0.21,26.11
22Month,0,0,0.41,0,0,0,0.27,0.14,0.14,0,0.14,0.14,0.14,0.27,0.14,0,0.14,0,0.14,0,0,0,0,0,0,1.78
