stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,2,1,0,170,6,0,0,0,0,3,0,0,0,0,5,23,15,36,0,0,0,8,130,0,1,0,0,0,0,2,0,0
72hpf,1.41,0,0,13.81,5.36,0.85,0,0,0,0,0.28,0,0,0,1.41,30.72,0,2.54,1.13,0,0,9.3,21.42,0,2.54,0,0,7.61,0,0.85,0,0
21Day,1.85,0,0,11.47,0.37,1.11,0.74,0,0,0,0,0,0,0,0,2.22,0.37,4.81,0,0.37,0,2.96,13.32,0.37,0.74,0.37,0,0,0.37,0,0,0.37
3Month,0.1,0,0.1,5.1,0,0,0,0.1,0,0,1.04,0.21,0,0.52,0.31,0.42,0.31,0.21,0,0,0.1,0,0.31,0,0,0,1.66,0.21,0,1.14,0.1,0.1
22Month,0,0,0,3.28,0,0,0,0,0.27,0,4.51,0.41,0.41,0.27,0,0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,1.37,0,0,3.28,1.64,0,0.14,0,0
