stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0.28,0,0,0,0,0,0,0,0,0.85,0,0,0,0,3.95,0,0.28,0,0,0.28,0,0,0,0
21Day,0,0,0.74,0,0.37,0,0,0,0,0,0,0.37,0,0.74,0,0,0,0,1.48,0,0,0,0,0,0,0,0,0
3Month,0,5.2,3.64,0.1,0,0,0.1,0.83,0,3.64,0.31,0,0.73,11.96,1.04,0.21,0,0.1,0,0,0,0.31,0,0,0.1,0.1,0.42,0
22Month,0,18.58,0.96,0,0,0.14,0,0.41,0.14,4.37,0.14,0,0.41,3.55,0.68,1.78,0.14,0,0,0,0,0,0.41,0,0,0.14,0,0.27
