stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Mt_rich_cell,Neural_cell,Osteoblast,Retinal_cell
72hpf,0.28,0,0,0,4.23,0.28,0
21Day,0,0,0,0,0.74,0,0.37
22Month,0,0.14,0.55,0.14,0,0,0
